TRADING_NAME,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,latitude,longitude
BP 2go Woodvale,941 Whitfords Ave,WOODVALE,6026,North of River,Metro,-31.7998,115.796
BP Allway,35 Albany Hwy,ALBANY,6330,Albany,Great Southern,-35.0205,117.882
BP Applecross,848 Canning Hwy,APPLECROSS,6153,South of River,Metro,-32.0149,115.8433
BP Attadale,530 Canning Hwy,ATTADALE,6156,South of River,Metro,-32.0318,115.8089
BP Augusta,64 Blackwood Ave,AUGUSTA,6290,Augusta-M River,South-West,-34.3159,115.1593
BP Balcatta,53 Erindale Rd,BALCATTA,6021,North of River,Metro,-31.8655,115.8081
BP Baldivis Northbound Travel Centre,Lot 191 Paparone Rd,BALDIVIS,6171,South of River,Metro,-32.3098,115.8301
BP Baldivis Southbound Travel Centre,Lot 192 Leary Rd,BALDIVIS,6171,South of River,Metro,-32.3092,115.8329
BP Ballajura,2 Illawarra Cres North,BALLAJURA,6066,North of River,Metro,-31.8266,115.8772
BP Baskerville,1084 Great Northern Hwy,BASKERVILLE,6056,East/Hills,Metro,-31.7974,116.0216
BP Beeliar,701 Beeliar Dr,COCKBURN CENTRAL,6164,South of River,Metro,-32.1271,115.8437
BP Beldon,261 Eddystone Ave,BELDON,6027,North of River,Metro,-31.7706,115.7669
BP Bibra Lake,2 Wellard St,BIBRA LAKE,6163,South of River,Metro,-32.1048,115.8037
BP Broome Central Service Centre,2 Coghlan St,DJUGUN,6725,Broome,Kimberley,-17.9551,122.2372
BP Broome Depot (Recharge Petroleum),276 Port Dr,MINYIRR,6725,Broome,Kimberley,-17.9927,122.2038
BP Busselton,26 Albert St,BUSSELTON,6280,Busselton-Shire,South-West,-33.6525,115.3443
BP Canning Vale OPT,13 Bannister Rd,CANNING VALE,6155,South of River,Metro,-32.0597,115.9308
BP Canning Vale,1 Wilfred Rd,CANNING VALE,6155,South of River,Metro,-32.0824,115.9087
BP Carnarvon,1134 North West Coastal Hwy,BROWN RANGE,6701,Carnarvon,Gascoyne,-24.8619,113.7129
BP Clarkson,28K Caloundra Rd,CLARKSON,6030,North of River,Metro,-31.6939,115.7249
BP Colac,138 Loch St,DERBY,6728,Derby,Kimberley,-17.3097,123.6468
BP Connect Ascot (WA),210 Great Eastern Hwy,ASCOT,6104,South of River,Metro,-31.9403,115.9274
BP Connect Beaumauris,2 Prendiville Ave,OCEAN REEF,6027,North of River,Metro,-31.7523,115.7406
BP Connect Carlisle,44 Archer St,CARLISLE,6101,South of River,Metro,-31.9723,115.9188
BP Connect Currambine,2 Sunlander Dr,CURRAMBINE,6028,North of River,Metro,-31.7237,115.7465
BP Connect East Perth,68-70 Brown St,EAST PERTH,6004,North of River,Metro,-31.9505,115.8764
BP Connect Kwinana Hub,4 Chisham Ave,KWINANA TOWN CENTRE,6167,South of River,Metro,-32.2444,115.8133
BP Connect Main Street,218 Main St,OSBORNE PARK,6017,North of River,Metro,-31.8963,115.8286
BP Connect Merriwa,2 Ridgewood Bvd,RIDGEWOOD,6030,North of River,Metro,-31.6701,115.7263
BP Connect Myaree,246 Leach Hwy,MYAREE,6154,South of River,Metro,-32.0458,115.8202
BP Connect North Perth,349 Charles St,NORTH PERTH,6006,North of River,Metro,-31.9266,115.8518
BP Connect Padbury,2 Warburton Ave,PADBURY,6025,North of River,Metro,-31.8136,115.7592
BP Connect Palm Springs,214 Warnbro Sound Ave,WARNBRO,6169,South of River,Metro,-32.3481,115.7619
BP Connect Phoenix,222 Rockingham Rd,SPEARWOOD,6163,South of River,Metro,-32.0947,115.7832
BP Connect Riverton,339 High Rd,RIVERTON,6148,South of River,Metro,-32.0391,115.9043
BP Connect Rockingham Park,2 Chalgrove Ave,ROCKINGHAM,6168,South of River,Metro,-32.2899,115.7415
BP Connect South Perth,9 Mends St,SOUTH PERTH,6151,South of River,Metro,-31.9726,115.8521
BP Connect Thomsons Lake,810 Beeliar Dr,SUCCESS,6164,South of River,Metro,-32.1299,115.854
BP Connect Wellington Rd,261 Walter Rd West,MORLEY,6062,North of River,Metro,-31.8946,115.8968
BP Connect Wembley,240 Cambridge St,WEMBLEY,6014,North of River,Metro,-31.9403,115.8202
BP Connect West Coast,11 Scarborough Beach Rd,SCARBOROUGH,6019,North of River,Metro,-31.8946,115.7582
BP Cowaramup,1 Roy Earl Dr,COWARAMUP,6284,Augusta-M River,South-West,-33.8551,115.1005
BP Cunderdin Roadhouse,Lot 6 Great Eastern Hwy,CUNDERDIN,6407,Cunderdin,Wheatbelt,-31.652,117.232
BP Denmark,44A South Coast Hwy,DENMARK,6333,Denmark,Great Southern,-34.9604,117.3534
BP Derby Depot (Recharge Petroleum),19 Rodgers St,DERBY,6728,Derby,Kimberley,-17.3273,123.6508
BP Dog Swamp,4 Wanneroo Rd,YOKINE,6060,North of River,Metro,-31.9114,115.8469
BP Donnybrook,15 South Western Hwy,DONNYBROOK,6239,D-Brook/Bal-Up,South-West,-33.5707,115.8229
BP Dunsborough,238 Naturaliste Tce,DUNSBOROUGH,6281,Busselton-Shire,South-West,-33.6157,115.1061
BP East Rockingham,137 Dixon Rd,EAST ROCKINGHAM,6168,South of River,Metro,-32.2762,115.7806
BP Ellenbrook,180 The Promenade,ELLENBROOK,6069,North of River,Metro,-31.7769,115.9651
BP Embleton,484 Walter Rd East,EMBLETON,6062,North of River,Metro,-31.895,115.9234
BP Fitzroy Crossing,Lot 315 Great Northern Hwy,FITZROY CROSSING,6765,Fitzroy Cross,Kimberley,-18.1933,125.5579
BP Forrestdale,2 Alex Wood Dr,FORRESTDALE,6112,South of River,Metro,-32.1373,115.9696
BP Forrestfield,155 Hale Rd,FORRESTFIELD,6058,East/Hills,Metro,-31.9906,116.0001
BP Geraldton OPT,Lot 1662 Shenton St,WEST END,6530,Geraldton,Mid-West,-28.7834,114.5964
BP Golden Gate,438 Hannan St,KALGOORLIE,6430,Kalgoorlie,Goldfields-Esperance,-30.7528,121.4657
BP Greenwood North,1 Canham Way,GREENWOOD,6024,North of River,Metro,-31.821,115.8158
BP Greenwood,19 Coolibah Dr,GREENWOOD,6024,North of River,Metro,-31.8324,115.802
BP Halls Head,2 Guava Way,HALLS HEAD,6210,Mandurah,Peel,-32.5504,115.7014
BP Henley Brook,1520 Gnangara Rd,HENLEY BROOK,6055,North of River,Metro,-31.7961,115.9785
BP Highgate,342 Beaufort St,PERTH,6000,North of River,Metro,-31.9425,115.8677
BP Huntingdale,68 Warton Rd,HUNTINGDALE,6110,South of River,Metro,-32.0716,115.9665
BP Jindalee,2 Abello Bvd,JINDALEE,6036,North of River,Metro,-31.6365,115.6898
BP Jurien Bay,110 Bashford St,JURIEN BAY,6516,Jurien,Wheatbelt,-30.3037,115.0406
BP Kalgoorlie-Boulder Truckstop,248 Celebration Rd,YILKARI,6430,Boulder,Goldfields-Esperance,-30.7819,121.4886
BP Kambalda,Lot 35 Goldfields Hwy,KAMBALDA EAST,6442,Kambalda,Goldfields-Esperance,-31.2356,121.6071
BP Kardinya,88 Gilbertson Rd,KARDINYA,6163,South of River,Metro,-32.0691,115.8201
BP Karratha Depot (Recharge Petroleum),1033 Mardie Rd,KARRATHA INDUSTRIAL ESTATE,6714,Karratha,Pilbara,-20.7757,116.8607
BP Karratha Service Station,30 Balmoral Rd,KARRATHA,6714,Karratha,Pilbara,-20.7338,116.8416
BP Karratha West,Lot 9 Resource Rd,GAP RIDGE,6714,Karratha,Pilbara,-20.7426,116.768
BP Kenwick,48 Courtney Pl,WATTLE GROVE,6107,East/Hills,Metro,-32.0061,115.9807
BP Kewdale,549 Abernethy Rd,KEWDALE,6105,South of River,Metro,-31.9818,115.9751
BP Koondoola,28 Koondoola Ave,KOONDOOLA,6064,North of River,Metro,-31.8418,115.8584
BP Kununurra Depot (Recharge Petroleum),Cnr Stockman Rd & Bull Run Rd,KUNUNURRA,6743,Kununurra,Kimberley,-15.7967,128.7648
BP Maida Vale,269 Kalamunda Rd,MAIDA VALE,6057,East/Hills,Metro,-31.9536,116.0242
